category,period,name1,name2,value,lower,upper,chs_value,good_start_value,bad_start_value
control_coeffs,0,y1,constant,1.00545482,-inf,inf,1.00545482,1.0,0.0
control_coeffs,0,y1,x1,1.00161847,-inf,inf,1.00161847,1.0,0.0
control_coeffs,0,y2,constant,0.97599155,-inf,inf,0.97599155,1.0,0.0
control_coeffs,0,y2,x1,1.03143922,-inf,inf,1.03143922,1.0,0.0
control_coeffs,0,y3,constant,0.99413941,-inf,inf,0.99413941,1.0,0.0
control_coeffs,0,y3,x1,0.99409082,-inf,inf,0.99409082,1.0,0.0
control_coeffs,0,y4,constant,1.00601018,-inf,inf,1.00601018,1.0,0.0
control_coeffs,0,y4,x1,1.01833579,-inf,inf,1.01833579,1.0,0.0
control_coeffs,0,y5,constant,1.00099227,-inf,inf,1.00099227,1.0,0.0
control_coeffs,0,y5,x1,1.02354619,-inf,inf,1.02354619,1.0,0.0
control_coeffs,0,y6,constant,0.96857115,-inf,inf,0.96857115,1.0,0.0
control_coeffs,0,y6,x1,1.04884144,-inf,inf,1.04884144,1.0,0.0
control_coeffs,0,y7,constant,0.97482723,-inf,inf,0.97482723,1.0,0.0
control_coeffs,0,y7,x1,1.04176152,-inf,inf,1.04176152,1.0,0.0
control_coeffs,0,y8,constant,0.98188173,-inf,inf,0.98188173,1.0,0.0
control_coeffs,0,y8,x1,1.00566791,-inf,inf,1.00566791,1.0,0.0
control_coeffs,0,y9,constant,0.92514421,-inf,inf,0.92514421,0.9,0.0
control_coeffs,0,y9,x1,1.04848607,-inf,inf,1.04848607,1.0,0.0
control_coeffs,0,Q1_fac1,constant,1.03648928,-inf,inf,1.03648928,1.0,0.0
control_coeffs,0,Q1_fac1,x1,0.94351157,-inf,inf,0.94351157,0.9,0.0
control_coeffs,1,y1,constant,1.0528786,-inf,inf,1.0528786,1.1,0.0
control_coeffs,1,y1,x1,0.9565774,-inf,inf,0.9565774,1.0,0.0
control_coeffs,1,y2,constant,1.10002752,-inf,inf,1.10002752,1.1,0.0
control_coeffs,1,y2,x1,0.94514768,-inf,inf,0.94514768,0.9,0.0
control_coeffs,1,y3,constant,1.11220924,-inf,inf,1.11220924,1.1,0.0
control_coeffs,1,y3,x1,0.94921197,-inf,inf,0.94921197,0.9,0.0
control_coeffs,1,y4,constant,1.05321768,-inf,inf,1.05321768,1.1,0.0
control_coeffs,1,y4,x1,0.97927901,-inf,inf,0.97927901,1.0,0.0
control_coeffs,1,y5,constant,1.07984824,-inf,inf,1.07984824,1.1,0.0
control_coeffs,1,y5,x1,0.95632487,-inf,inf,0.95632487,1.0,0.0
control_coeffs,1,y6,constant,1.04155956,-inf,inf,1.04155956,1.0,0.0
control_coeffs,1,y6,x1,0.98720524,-inf,inf,0.98720524,1.0,0.0
control_coeffs,1,Q1_fac1,constant,1.03648928,-inf,inf,1.03648928,1.0,0.0
control_coeffs,1,Q1_fac1,x1,0.94351157,-inf,inf,0.94351157,0.9,0.0
control_coeffs,2,y1,constant,1.01759386,-inf,inf,1.01759386,1.0,0.0
control_coeffs,2,y1,x1,0.98278806,-inf,inf,0.98278806,1.0,0.0
control_coeffs,2,y2,constant,0.99449381,-inf,inf,0.99449381,1.0,0.0
control_coeffs,2,y2,x1,1.00015093,-inf,inf,1.00015093,1.0,0.0
control_coeffs,2,y3,constant,1.04145063,-inf,inf,1.04145063,1.0,0.0
control_coeffs,2,y3,x1,0.93918533,-inf,inf,0.93918533,0.9,0.0
control_coeffs,2,y4,constant,0.98808056,-inf,inf,0.98808056,1.0,0.0
control_coeffs,2,y4,x1,1.00539897,-inf,inf,1.00539897,1.0,0.0
control_coeffs,2,y5,constant,0.93727871,-inf,inf,0.93727871,0.9,0.0
control_coeffs,2,y5,x1,1.03995916,-inf,inf,1.03995916,1.0,0.0
control_coeffs,2,y6,constant,0.97863335,-inf,inf,0.97863335,1.0,0.0
control_coeffs,2,y6,x1,1.02370063,-inf,inf,1.02370063,1.0,0.0
control_coeffs,2,Q1_fac1,constant,1.03648928,-inf,inf,1.03648928,1.0,0.0
control_coeffs,2,Q1_fac1,x1,0.94351157,-inf,inf,0.94351157,0.9,0.0
control_coeffs,3,y1,constant,1.07747808,-inf,inf,1.07747808,1.1,0.0
control_coeffs,3,y1,x1,0.95263385,-inf,inf,0.95263385,1.0,0.0
control_coeffs,3,y2,constant,1.01595775,-inf,inf,1.01595775,1.0,0.0
control_coeffs,3,y2,x1,0.97511705,-inf,inf,0.97511705,1.0,0.0
control_coeffs,3,y3,constant,1.00409134,-inf,inf,1.00409134,1.0,0.0
control_coeffs,3,y3,x1,0.99671239,-inf,inf,0.99671239,1.0,0.0
control_coeffs,3,y4,constant,1.00265983,-inf,inf,1.00265983,1.0,0.0
control_coeffs,3,y4,x1,0.97463783,-inf,inf,0.97463783,1.0,0.0
control_coeffs,3,y5,constant,0.98936892,-inf,inf,0.98936892,1.0,0.0
control_coeffs,3,y5,x1,1.00354587,-inf,inf,1.00354587,1.0,0.0
